session_id;exercise_name;model_number;elem_type;plantuml;count
gpt5;case_11_e-commerce;model012;Class;Customer;1
gpt5;case_11_e-commerce;model012;Attributes;Customer.customerId;1
gpt5;case_11_e-commerce;model012;Class;Order;1
gpt5;case_11_e-commerce;model012;Attributes;Order.orderId;1
gpt5;case_11_e-commerce;model012;Class;Product;1
gpt5;case_11_e-commerce;model012;Attributes;Product.name;1
gpt5;case_11_e-commerce;model012;Attributes;Product.description;1
gpt5;case_11_e-commerce;model012;Class;OrderItem;1
gpt5;case_11_e-commerce;model012;Attributes;OrderItem.quantityRequested;1
gpt5;case_11_e-commerce;model012;Attributes;OrderItem.agreedPrice;1
gpt5;case_11_e-commerce;model012;Class;Review;1
gpt5;case_11_e-commerce;model012;Attributes;Review.dateWritten;1
gpt5;case_11_e-commerce;model012;Attributes;Review.ratingScore;1
gpt5;case_11_e-commerce;model012;Class;PromotionalCampaign;1
gpt5;case_11_e-commerce;model012;Class;ProductPromotion;1
gpt5;case_11_e-commerce;model012;Attributes;ProductPromotion.discountRate;1
gpt5;case_11_e-commerce;model012;Attributes;ProductPromotion.startDate;1
gpt5;case_11_e-commerce;model012;Attributes;ProductPromotion.endDate;1
gpt5;case_11_e-commerce;model012;Association;"Customer ""1"" -- ""0..*"" Order";1
gpt5;case_11_e-commerce;model012;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1
gpt5;case_11_e-commerce;model012;Association Class;(Customer, Product) .. Review;1
gpt5;case_11_e-commerce;model012;Association Class;(Product, PromotionalCampaign) .. ProductPromotion;1
