session_id;exercise_name;model_number;elem_type;plantuml;count
P064;theater_scheduling;model011;Class;Abstract Play;1
P064;theater_scheduling;model011;Attributes;Play.name;1
P064;theater_scheduling;model011;Attributes;Play.timeOfDay;1
P064;theater_scheduling;model011;Class;Musical;1
P064;theater_scheduling;model011;Class;Opera;1
P064;theater_scheduling;model011;Class;Theater;1
P064;theater_scheduling;model011;Attributes;Theater.location;1
P064;theater_scheduling;model011;Class;Author;1
P064;theater_scheduling;model011;Class;Participant;1
P064;theater_scheduling;model011;Class;Enumeration TimeOfDay;1
P064;theater_scheduling;model011;Attributes;TimeOfDay.Day;1
P064;theater_scheduling;model011;Attributes;TimeOfDay.Night;1
P064;theater_scheduling;model011;Class;Abstract Person;1
P064;theater_scheduling;model011;Attributes;Person.name;1
P064;theater_scheduling;model011;Association;"Play ""1..*"" -- ""1..*"" Author";1
P064;theater_scheduling;model011;Inheritance;Musical --|> Play;1
P064;theater_scheduling;model011;Inheritance;Opera --|> Play;1
P064;theater_scheduling;model011;Association;"Play ""0..*"" -- ""1..*"" Participant";1
P064;theater_scheduling;model011;Association;"Author ""0..*"" -- ""0..*"" Participant";1
P064;theater_scheduling;model011;Association;"Play ""0..*"" -- ""1..*"" Theater";1
P064;theater_scheduling;model011;Inheritance;Participant --|> Person;1
P064;theater_scheduling;model011;Inheritance;Author --|> Person;1
P064;theater_scheduling;model011;Class;Session;1
P064;theater_scheduling;model011;Attributes;Session.scheduledDate;1
P064;theater_scheduling;model011;Attributes;Session.startTime;1
P064;theater_scheduling;model011;Attributes;Session.endTime;1
P064;theater_scheduling;model011;Association Class;(Play, Theater) .. Session;1
