session_id;exercise_name;model_number;elem_type;plantuml;count
gpt5;case_15_robots;model011;Class;Abstract Robot;1
gpt5;case_15_robots;model011;Attributes;Robot.robotId;1
gpt5;case_15_robots;model011;Class;CleaningRobot;1
gpt5;case_15_robots;model011;Class;TransportRobot;1
gpt5;case_15_robots;model011;Class;Task;1
gpt5;case_15_robots;model011;Attributes;Task.taskCode;1
gpt5;case_15_robots;model011;Class;TaskExecution;1
gpt5;case_15_robots;model011;Attributes;TaskExecution.referenceCode;1
gpt5;case_15_robots;model011;Attributes;TaskExecution.startTime;1
gpt5;case_15_robots;model011;Attributes;TaskExecution.locationCategory;1
gpt5;case_15_robots;model011;Class;Enumeration LocationCategory;1
gpt5;case_15_robots;model011;Attributes;LocationCategory.Corridor;1
gpt5;case_15_robots;model011;Attributes;LocationCategory.Room;1
gpt5;case_15_robots;model011;Association;"Robot ""0..*"" -- ""0..*"" Task";1
gpt5;case_15_robots;model011;Association;"Robot ""0..*"" -- ""1"" TaskExecution";1
gpt5;case_15_robots;model011;Composition;"Task ""0..*"" *-- ""1"" TaskExecution";1
gpt5;case_15_robots;model011;Inheritance;CleaningRobot --|> Robot;1
gpt5;case_15_robots;model011;Inheritance;TransportRobot --|> Robot;1
gpt5;case_15_robots;model011;Association Class;(Robot, Task) .. TaskExecution;1
