Exercise;Element;reference_plantuml;reference;session_id;exercise_name;model_number;elem_type;plantuml;predicted;correct;llm
case_13_theater_scheduling;Class;Enumeration Time;1;P001;case_13_theater_scheduling;model012;Class;Enumeration TimeOfDay;1;1;gpt-5
case_13_theater_scheduling;Class;Abstract Person;1;P001;case_13_theater_scheduling;model012;Class;Abstract Person;1;1;gpt-5
case_13_theater_scheduling;Class;Author;1;P001;case_13_theater_scheduling;model012;Class;Author;1;1;gpt-5
case_13_theater_scheduling;Class;Participant;1;P001;case_13_theater_scheduling;model012;Class;Participant;1;1;gpt-5
case_13_theater_scheduling;Class;Session;1;P001;case_13_theater_scheduling;model012;Class;Session;1;1;gpt-5
case_13_theater_scheduling;Class;Theater;1;P001;case_13_theater_scheduling;model012;Class;Theater;1;1;gpt-5
case_13_theater_scheduling;Class;Abstract Play;1;P001;case_13_theater_scheduling;model012;Class;Abstract Play;1;1;gpt-5
case_13_theater_scheduling;Class;Musical;1;P001;case_13_theater_scheduling;model012;Class;Musical;1;1;gpt-5
case_13_theater_scheduling;Class;Opera;1;P001;case_13_theater_scheduling;model012;Class;Opera;1;1;gpt-5
case_13_theater_scheduling;Attributes;Time.Day;1;P001;case_13_theater_scheduling;model012;Attributes;TimeOfDay.Day;1;1;gpt-5
case_13_theater_scheduling;Attributes;Time.Night;1;P001;case_13_theater_scheduling;model012;Attributes;TimeOfDay.Night;1;1;gpt-5
case_13_theater_scheduling;Attributes;Person.name;1;P001;case_13_theater_scheduling;model012;Attributes;Person.name;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.date;1;P001;case_13_theater_scheduling;model012;Attributes;Session.scheduledDate;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.timeBegin;1;P001;case_13_theater_scheduling;model012;Attributes;Session.startTime;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.timeEnd;1;P001;case_13_theater_scheduling;model012;Attributes;Session.endTime;1;1;gpt-5
case_13_theater_scheduling;Attributes;Theater.Location;1;P001;case_13_theater_scheduling;model012;Attributes;Theater.location;1;1;gpt-5
case_13_theater_scheduling;Attributes;Play.name;1;P001;case_13_theater_scheduling;model012;Attributes;Play.name;1;1;gpt-5
case_13_theater_scheduling;Attributes;Play.Time;1;P001;case_13_theater_scheduling;model012;Attributes;Play.timeOfDay;1;1;gpt-5
case_13_theater_scheduling;Association;"Play ""*"" -- ""*"" Theater : plays";1;P001;case_13_theater_scheduling;model012;Association;"Play ""0..*"" -- ""1..*"" Theater";1;1;gpt-5
