Exercise;Element;reference_plantuml;reference;exercise_name;model_number;elem_type;plantuml;predicted;correct;llm
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model001;Class;Customer;1;1;gpt4.1
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model001;Class;Product;1;1;gpt4.1
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model001;Class;Order;1;1;gpt4.1
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model001;Class;OrderItem;1;1;gpt4.1
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model001;Class;Review;1;1;gpt4.1
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model001;Class;Promotion;1;1;gpt4.1
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model001;Class;ProductPromotion;1;1;gpt4.1
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model001;Attributes;Customer.customerId;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model001;Attributes;Product.name;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model001;Attributes;Product.description;1;1;gpt4.1
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model001;Attributes;Order.orderId;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model001;Attributes;OrderItem.quantity;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model001;Attributes;OrderItem.agreedPrice;1;1;gpt4.1
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model001;Attributes;Review.dateWritten;1;1;gpt4.1
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model001;Attributes;Review.ratingScore;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model001;Attributes;ProductPromotion.discountRate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model001;Attributes;ProductPromotion.startDate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model001;Attributes;ProductPromotion.endDate;1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model001;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model001;;;;;gpt4.1
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model001;;;;;gpt4.1
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model001;;;;;gpt4.1
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model001;;;;;gpt4.1
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model001;Association Class;(Customer, Product) .. Review;1;1;gpt4.1
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model001;Association Class;(Product, Promotion) .. ProductPromotion;1;1;gpt4.1
case_11_e-commerce;Attributes;;;case_11_e-commerce;model001;Attributes;Promotion.promotionId;1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model001;Association;"Product ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model001;Association;"Promotion ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Composition;;;case_11_e-commerce;model001;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;0;gpt4.1
case_11_e-commerce;Composition;;;case_11_e-commerce;model001;Composition;"OrderItem ""1"" *-- ""1"" Product";1;0;gpt4.1
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model002;Class;Customer;1;1;gpt4.1
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model002;Class;Product;1;1;gpt4.1
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model002;Class;Order;1;1;gpt4.1
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model002;Class;OrderItem;1;1;gpt4.1
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model002;Class;Review;1;1;gpt4.1
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model002;Class;Promotion;1;1;gpt4.1
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model002;Class;ProductPromotion;1;1;gpt4.1
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model002;Attributes;Customer.customerId;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model002;Attributes;Product.name;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model002;Attributes;Product.description;1;1;gpt4.1
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model002;Attributes;Order.orderId;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model002;Attributes;OrderItem.quantity;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model002;Attributes;OrderItem.agreedPrice;1;1;gpt4.1
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model002;Attributes;Review.reviewDate;1;1;gpt4.1
